S1,C2,S3,S4
LINC00208,ANKRD11,LINC00208,GPR88
NEIL2,ZDHHC7,NEIL2,INS-IGF2
C8orf49,SMAD6,C8orf49,HMX3
GATA4,C11orf9,GATA4,GATA5
RNA5SP252,EHD1,RNA5SP252,KIF5C
C8orf74,FERMT3,C8orf74,LPPR5
RP1L1,PC,RP1L1,NXPH3
MIR598,C10orf41,MIR598,ADD2
SNORD112,PSMD6,SNORD112,LOC157627
PINX1,CTNND1,PINX1,TOX2
SOX7,HN1,SOX7,TSPAN2
FAM167A,P2RX1,FAM167A,CSMD2
RN7SL293P,PLCG2,RN7SL293P,LRRFIP1
C8orf12,BAIAP2,C8orf12,TSPAN2
TDH,IRF2BP1,TDH,KCNB2
SLC35G5,KLHDC7A,SLC35G5,MOS
MTMR9,C3orf21,MTMR9,IGFBP3
LINC00529,INPP5A,LINC00529,CD38
XKR6,TRAPPC9,XKR6,EBF1
ADORA2B,AFAP1,ADORA2B,EFCAB4B
RNA5SP436,ACSF3,RNA5SP436,FRY
ZSWIM7,CUX1,ZSWIM7,GPC5
TTC19,ABR,TTC19,DNAH11
NCOR1,KIAA1614,NCOR1,CDK5R2
RN7SL442P,FOXK1,RN7SL442P,TTBK1
PIGL,TBCD,PIGL,PCDH21
MIR1288,PM20D1,MIR1288,ZDHHC14
CENPV,BAMBI,CENPV,PTPRS
UBB,SDK1,UBB,GALNS
TRPV2,CLTCL1,TRPV2,TRAPPC9
FAM211A,SORBS2,FAM211A,FBLN1
ZNF287,HAVCR1,ZNF287,TFPI2
MYO15A,IQCE,MYO15A,ACAN
DRG2,EPB41L3,DRG2,CAMK2B
snoU13,C11orf9,snoU13,DNM3
RASD1,FOXK1,RASD1,EMX2OS
MED9,BANP,MED9,CUX2
PEMT,DNAJB6,PEMT,HOXB13
CDRT1,TCF7L2,CDRT1,JAKMIP1
CDRT15,TBC1D16,CDRT15,FLJ45983
CDRT4,HCG9,CDRT4,ABCB1
CDRT7,EDEM3,CDRT7,GFRA1
CDRT8,GPR123,CDRT8,IRF7
HS3ST3B1,TBC1D17,HS3ST3B1,B4GALNT2
MIR4731,KIAA0802,MIR4731,S1PR1
PMP22,ADAMTS17,PMP22,LASS4
RN7SL792P,TRIM26,RN7SL792P,KCNB2
SNORA74,DOT1L,SNORA74,ABCB1
TEKT3,TNK2,TEKT3,KCNB2
TRIM16,MIR211,TRIM16,SYT9
TVP23C,RAB40C,TVP23C,GFRA1
snoU13,NADK,snoU13,HMX3
TBC1D26,DDX43,TBC1D26,RCSD1
ZNF286A,C7orf50,ZNF286A,IGFBP7
PDSS2,MTA1,PDSS2,RSPO3
DNAH9,RNF144A,DNAH9,HMX3
MIR744,ZDHHC7,MIR744,CADM1
ZNF18,MAEA,ZNF18,OPRD1
RPL21P122,KLF16,RPL21P122,SLCO4C1
MAP2K4,RGMB,MAP2K4,RCN3
FBXW10,GOLGA3,FBXW10,RPRML
TRIM16L,SLC23A2,TRIM16L,GATA5
TVP23B,S100A14,TVP23B,SCARF2
RN7SL627P,ZFPM1,RN7SL627P,SYN3
SLC5A10,UNC93B1,SLC5A10,ZNF549
PRPSAP2,ZFPM1,PRPSAP2,BMP3
EPN2,MYC,EPN2,SNCA
GRAPL,SLC22A11,GRAPL,EPO
FAM83G,AACS,FAM83G,INHBB
GRAP,HYDIN,GRAP,APC
SNORD3A,TMEM129,SNORD3A,ZSCAN18
SNORD3C,C3orf21,SNORD3C,RCN3
SNORD3D,TBCD,SNORD3D,TBR1
EVPLL,CSNK1G2,EVPLL,PRDM8
SHMT1,KIF26B,SHMT1,B4GALNT2
SMCR8,HYLS1,SMCR8,MYEF2
TOP3A,ITCH,TOP3A,CCND2
SMCR7,SSU72,SMCR7,ISM1
FLII,CES2,FLII,RFTN1
LLGL1,TOLLIP,LLGL1,HOXC4
ALKBH5,BAZ1A,ALKBH5,MIR34B
ZNF286B,DCPS,ZNF286B,NID2
USP32P2,CES3,USP32P2,LOC641746
TBC1D28,ABAT,TBC1D28,ZNF695
RN7SL639P,ACOT7,RN7SL639P,CMTM3
LGALS9C,GPT,LGALS9C,ZNF804B
KRT17P2,MACROD1,KRT17P2,TCF4
KRT16P1,INPP5A,KRT16P1,GFRA3
FAM106A,ZFPM1,FAM106A,FOXI3
CCDC144B,ADAMTS2,CCDC144B,RFTN1
UPF3AP2,SCG5,UPF3AP2,FADS2
KCNJ12,MAEA,KCNJ12,SYNE1
MAP2K3,INPP5A,MAP2K3,PROX1
C17orf103,HYDIN,C17orf103,KCNMA1
RN7SL426P,C9orf3,RN7SL426P,ZFP28
TMEM11,KLF12,TMEM11,NPR3
MIR1180,ZFPM1,MIR1180,CNRIP1
B9D1,LNX2,B9D1,EOMES
SLC47A1,GAK,SLC47A1,CD81
SLC47A2,VPS4A,SLC47A2,ZNF677
SNORA31,PKD1,SNORA31,FOXI3
ALDH3A2,C21orf56,ALDH3A2,LHX1
U6,CDC42BPA,U6,TSLP
RN7SL17P,CLDN18,RN7SL17P,ZNF582
CCDC144CP,USP36,CCDC144CP,FADS2
SPECC1,MYBPC3,SPECC1,COL23A1
AKAP10,CYTSA,AKAP10,MMP17
ULK2,ACSF3,ULK2,CNIH3
ALDH3A1,CLDN18,ALDH3A1,PYY
SNORA59B,SLC12A7,SNORA59B,PYGO1
RNF112,JRK,RNF112,GUCY1A2
MFAP4,CLDN18,MFAP4,PAX6
MAPK7,LRP5,MAPK7,ZFP28
C1orf114,MTA1,PROM2,SLC5A7
HOXD13,TBC1D17,C15orf41,RASSF10
BMP7,CD9,PNLIPRP2,BMP3
DNAJC6,IL1RN,PTPN14,SLITRK5
HMX3,C11orf9,TRIP13,DLGAP3
ZNF141,LOC148696,ZNF423,LYNX1
SLC35F3,ODZ4,FSD1,CMTM3
C10orf41,HAVCR1,APBA2,BMP3
GSG1L,C21orf70,CCDC154,HLA-L
CRMP1,CLDN18,ARRDC2,HS3ST4
WNT3A,C3orf26,OBSCN,KCNQ3
B4GALNT2,RTN4RL1,PTPRN2,DDIT4L
NINJ2,NEU1,MYOM2,TTBK1
B4GALNT2,ABR,PTDSS2,DNM3
SYCE1L,C21orf58,ST3GAL1,NKX3-2
TSPAN2,ERI3,WDR36,
DYDC2,MIR1276,PARP9,
TMEM121,GPT,BTBD7,
ZNF665,FOXK1,IRS1,
IGFBP7,DAZAP1,ST3GAL1,
CYP24A1,BAHCC1,SCNN1A,
SNCA,UGGT1,JAKMIP3,
GPR98,MAST4,PRKAG2,
OBSL1,TSNARE1,PRKCZ,
NTNG1,KIF26B,CAPS,
REM1,FOXK1,MYCBPAP,
ADM2,PM20D1,IRS1,
RTN2,P4HB,MYOM2,
ACCN1,CDH17,GORASP2,
FAM38B,PTPRN2,ABTB1,
ZNF470,TCP11,CACNA1H,
SYT1,NOSIP,BRSK2,
CUX2,CSNK1G2,SIK1,
C8orf42,BTBD2,MFHAS1,
GLB1L3,SYT11,MYO18B,
GDF1,GSDMB,SEPHS2,
IGFBP7,OPA3,KCNQ2,
GSG1L,OLFM4,LIPH,
EFCAB4B,HLA-DPA1,SHANK2,
HMX3,CLDN18,VPS28,
STMN3,CLDN18,ELF5,
COL4A1,CABC1,TSPYL5,
LOC149134,SPATS2L,TRIP13,
PCDH21,SOX15,BANP,
NFYA,HEXDC,CHST10,
FAM38B,C6orf222,APBA2,
COL18A1,NXN,TBC1D5,
CCND2,LDLRAD2,B4GALT7,
HMX3,NUAK2,VASH1,
GRASP,FBXO44,DSCAML1,
GDF10,COL17A1,DPPA2,
ZNF71,PCSK9,SIK1,
FAM189A1,FRMD4A,STAU2,
TEPP,ARHGEF10,C1QTNF8,
NID2,FBP1,SLC22A18AS,
RUNDC3B,LLGL2,PLEC1,
RALYL,EHMT2,CCDC40,
LHX1,LHPP,RBCK1,
CTNND2,HLA-DPA1,PTPRN2,
TFAP2C,NELF,KIF6,
DST,LRP5,ITGAX,
CBFA2T3,SLC6A6,PTPRN2,
PTGDR,FREQ,TBC1D16,
ACTA1,SPTBN2,PTPRN2,
SYN3,LTBP3,INO80E,
LHX1,VAV2,B4GALT7,
GLB1L3,GFPT2,CMIP,
RET,HS3ST1,LOC440356,
FLRT2,SLC12A7,SBF1,
T,PFKP,GPC1,
EDNRB,CEL,HGFAC,
GSG1L,SET,PYGB,
ZNF385B,ABR,PTPRN2,
GNAO1,PM20D1,SLC6A18,
SFTA3,TBC1D16,TBC1D15,
FBN2,ST6GALNAC6,GAMT,
SLIT3,ERI3,GNAO1,
NTNG1,RGPD8,ARRDC2,
CTNND2,GTF3C5,ST14,
CPLX2,LDHC,DOC2A,
SLC43A3,SNX30,FHL2,
HAND2,BRMS1,SIK1,
MARK1,INPP5A,ARHGEF18,
NOVA1,FBP1,RPS6KA2,
NXPH3,TMCO3,BTBD7,
EDIL3,PARD3,PON3,
PLXNA4,TPPP,TSSC1,
KCNQ2,C9orf3,FAM92B,
ZNF671,PC,MYT1L,
CPAMD8,ACADS,C11orf63,
SGCE,RASA3,CCDC102A,
ELOVL4,SIRT7,SOX5,
STK32B,UBAP2L,PMEPA1,
ADAMTS3,PM20D1,MFHAS1,
OPRD1,PWWP2B,PLEC1,
GATA5,ZBTB7A,IRS1,
GLRB,IGSF9B,GIPC3,
HERC5,LPIN2,AGAP1,
ST8SIA2,CACNA1C,LOC440839,
DOCK2,PFKP,WISP1,
FOXI3,LOC148696,C14orf180,
KIF17,DST,MSI2,
GJC1,ANO7,RADIL,
SOX5,NEU1,PDLIM4,
HOXB13,KIAA1530,PIK3CD,
NGF,HLA-DRB1,CAMK2B,
SH3GL3,PROZ,HOOK2,
ZNF470,NOSIP,MCF2L,
ZNF880,SLC12A7,BMPER,
PIK3R5,NFATC1,TRIM29,
ZNF788,TPM4,LRRIQ4,
ISM1,PIWIL1,POLE4,
NTNG1,SLC45A3,C13orf16,
SYCE1L,PALLD,PEX7,
CD81,PCDHA7,KALRN,
MSC,SSBP3,ST14,
TBX21,GNB3,C1orf110,
C1orf61,ZFPM1,PON1,
MACROD1,DENND3,TMEM168,
LHX1,MMP1,CMIP,
SPEG,AKR7A2,PLCD3,
RGS20,ERI3,STK31,
TMEM63C,TPD52,DNAJC15,
LHX1,ITPK1,TPSG1,
MFAP3L,POLR1D,MAPK8IP3,
GSG1L,UBD,TRIO,
MPPED2,PRDM16,FUCA1,
HOXC9,ANPEP,CYTH4,
JAKMIP1,CCDC57,CPZ,
CEBPE,SEC31A,PHF20L1,
RPTOR,VPS37B,C16orf62,
